,Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
0,L. Sackey,18,Ghana,46,64,Scunthorpe United,ST,29.0,45.0,38.0,29.0,30.0,29.0,40.0,45.0,30.0,38.0,29.0,30.0,31.0,29.0,38.0,29.0,40.0,45.0,30.0,38.0,29.0,30.0,31.0,29.0,38.0,31.0
1,J. Young,17,Scotland,46,61,Swindon Town,ST,44.0,28.0,29.0,45.0,38.0,44.0,31.0,28.0,38.0,29.0,45.0,42.0,45.0,44.0,32.0,44.0,31.0,28.0,38.0,29.0,45.0,42.0,45.0,44.0,32.0,45.0
2,F. Prohart,18,Austria,47,67,Wolfsberger AC,ST,48.0,27.0,31.0,48.0,41.0,48.0,33.0,27.0,41.0,31.0,48.0,47.0,46.0,49.0,35.0,48.0,33.0,27.0,41.0,31.0,48.0,47.0,46.0,49.0,35.0,46.0
3,R. White,18,England,47,65,Bolton Wanderers,ST,48.0,32.0,33.0,49.0,42.0,48.0,33.0,32.0,42.0,33.0,49.0,46.0,52.0,47.0,34.0,48.0,33.0,32.0,42.0,33.0,49.0,46.0,52.0,47.0,34.0,52.0
4,R. Roache,17,Republic of Ireland,48,69,Blackpool,ST,43.0,27.0,29.0,45.0,38.0,43.0,31.0,27.0,38.0,29.0,45.0,43.0,47.0,44.0,32.0,43.0,31.0,27.0,38.0,29.0,45.0,43.0,47.0,44.0,32.0,47.0
5,M. Foy,18,England,48,68,Cambridge United,ST,47.0,31.0,34.0,48.0,41.0,47.0,38.0,31.0,41.0,34.0,48.0,47.0,47.0,49.0,39.0,47.0,38.0,31.0,41.0,34.0,48.0,47.0,47.0,49.0,39.0,47.0
6,S. McSweeney,19,Republic of Ireland,49,59,Limerick FC,ST,48.0,29.0,34.0,48.0,45.0,48.0,34.0,29.0,45.0,34.0,48.0,48.0,48.0,48.0,36.0,48.0,34.0,29.0,45.0,34.0,48.0,48.0,48.0,48.0,36.0,48.0
7,M. Zettl,18,Germany,50,67,SpVgg Unterhaching,ST,47.0,32.0,36.0,46.0,42.0,47.0,39.0,32.0,42.0,36.0,46.0,49.0,43.0,49.0,41.0,47.0,39.0,32.0,42.0,36.0,46.0,49.0,43.0,49.0,41.0,43.0
8,A. Junge,24,Denmark,50,56,FC Helsingør,ST,48.0,29.0,33.0,49.0,42.0,48.0,35.0,29.0,42.0,33.0,49.0,48.0,49.0,49.0,37.0,48.0,35.0,29.0,42.0,33.0,49.0,48.0,49.0,49.0,37.0,49.0
9,T. Knowles,18,England,50,71,Cambridge United,ST,46.0,33.0,33.0,48.0,40.0,46.0,34.0,33.0,40.0,33.0,48.0,45.0,49.0,46.0,35.0,46.0,34.0,33.0,40.0,33.0,48.0,45.0,49.0,46.0,35.0,49.0
